,uni_and_dept
Georgia Institute of Technology Georgia Tech_Engineering,40
University of North Carolina - Chapel Hill UNC_HistPolSoc,31
University of California - Los Angeles UCLA_HistPolSoc,22
Stanford University SU_Engineering,21
University of Texas - Austin UT_HistPolSoc,20
University of California - Berkeley_HistPolSoc,20
University of California - San Diego UCSD_HistPolSoc,19
University of Chicago UC_HistPolSoc,18
University of Michigan - Ann Arbor UM_HistPolSoc,17
Northwestern University NU_HistPolSoc,17
Clemson University CU_Engineering,16
Stanford University SU_Biology,16
Pennsylvania State University Penn State_HistPolSoc,16
University of Texas - Austin UT_Engineering,15
University of Illinois - Urbana- Champaign UIUC_Engineering,15
University of Virginia UVA_HistPolSoc,15
Princeton University_HistPolSoc,14
University of Southern California USC_LinguisticsAndCommunication,14
Carnegie Mellon University CMU_Engineering,14
University of Illinois - Urbana- Champaign UIUC_Chemistry,14
Northwestern University NU_Engineering,13
CUNY Graduate School and University Center_HistPolSoc,13
Michigan State University MSU_HistPolSoc,13
University of Southern California USC_HistPolSoc,13
Duke University DU_Engineering,13
University of Minnesota - Twin Cities UM_HistPolSoc,12
New York University NYU_HistPolSoc,12
University of Wisconsin - Madison UW_MathematicsAndComputer Science,12
University of Virginia UVA_Engineering,12
Stony Brook University - SUNY_MathematicsAndComputer Science,11
University of Michigan - Ann Arbor UM_Engineering,11
Cornell University CU_PhysicsAndAstronomy,11
University of California - Davis UCD_HistPolSoc,11
Drexel University DU_Engineering,11
Duke University DU_Chemistry,11
Rice University_Engineering,11
University of Illinois - Urbana- Champaign UIUC_MathematicsAndComputer Science,10
University of Rochester UR_Chemistry,10
University of Maryland - College Park UMD_Engineering,10
University of Wisconsin - Madison UW_Chemistry,10
Emory University_HistPolSoc,10
University of Wisconsin - Madison UW_HistPolSoc,10
Yale University YU_HistPolSoc,10
Harvard University HU_HistPolSoc,10
Yale University YU_BusinessAndManagement,10
Duke University DU_ArtsAndTheology,10
University of Illinois - Urbana- Champaign UIUC_LinguisticsAndCommunication,10
University of Pennsylvania_Biology,10
University of Colorado - Boulder UCB_LinguisticsAndCommunication,10
University of California - Los Angeles UCLA_Biology,9
University of California - Berkeley_Chemistry,9
Emory University_Chemistry,9
University of California - San Diego UCSD_Engineering,9
Duke University DU_Biology,9
University of North Carolina - Chapel Hill UNC_Engineering,9
Johns Hopkins University JHU_HistPolSoc,9
Northeastern University NU_HistPolSoc,9
University of Southern California USC_MathematicsAndComputer Science,9
Brown University_HistPolSoc,9
University of Illinois - Urbana- Champaign UIUC_HistPolSoc,9
University of California - Berkeley_Engineering,9
Arizona State University ASU_HistPolSoc,9
Indiana University_HistPolSoc,9
University of Delaware UD_Engineering,9
Northwestern University NU_Chemistry,9
Purdue University - West Lafayette_Engineering,9
University of North Carolina - Chapel Hill UNC_Medical,8
University of California - San Diego UCSD_MathematicsAndComputer Science,8
Rutgers the State University of New Jersey - New Brunswick_HistPolSoc,8
Vanderbilt University_HistPolSoc,8
University of Colorado - Boulder UCB_Engineering,8
University of California - San Francisco UCSF_Medical,8
University of California - Irvine UCI_HistPolSoc,8
Emory University_LinguisticsAndCommunication,8
University of Chicago UC_LinguisticsAndCommunication,8
Stanford University SU_HistPolSoc,8
University of Chicago UC_Chemistry,8
Virginia Tech_Engineering,8
University of Kentucky UK_MathematicsAndComputer Science,8
University of Minnesota - Twin Cities UM_Engineering,8
University of California - Los Angeles UCLA_Engineering,8
Yale University YU_Biology,8
Cornell University CU_Engineering,8
Rice University_Biology,8
Drexel University DU_PhysicsAndAstronomy,8
Massachusetts Institute of Technology MIT_PhysicsAndAstronomy,8
University of Washington UW_Chemistry,8
Emory University_Medical,8
Princeton University_ArtsAndTheology,8
Vanderbilt University_Engineering,8
University of California - Riverside UCR_HistPolSoc,8
University of Rochester UR_MathematicsAndComputer Science,8
Temple University TU_HistPolSoc,7
University of Pennsylvania_HistPolSoc,7
Pennsylvania State University Penn State_Geography,7
University of Washington UW_HistPolSoc,7
University of Kentucky UK_Chemistry,7
University of Michigan - Ann Arbor UM_MathematicsAndComputer Science,7
University of South Carolina USC_Chemistry,7
Drexel University DU_Chemistry,7
Rutgers the State University of New Jersey - New Brunswick_LinguisticsAndCommunication,7
University of Texas - Dallas UTD_Engineering,7
Georgetown University_HistPolSoc,7
University of Texas - Austin UT_Biology,7
California Institute of Technology Caltech_Engineering,7
University of Florida UF_Biology,7
Pennsylvania State University Penn State_Engineering,7
University of Notre Dame ND_HistPolSoc,7
University of Chicago UC_BusinessAndManagement,7
Duke University DU_HistPolSoc,7
Massachusetts Institute of Technology MIT_Engineering,7
New York University NYU_Biology,7
University of Pittsburgh_HistPolSoc,7
North Carolina State University NCSU_Engineering,7
Emory University_ArtsAndTheology,7
Columbia University CU_HistPolSoc,7
University of Rochester UR_Engineering,7
